Step: 1605632   Mean reward: 26.25      Mean validation reward: 22.65625
Step: 1622016   Mean reward: 22.8125    Mean validation reward: 20.9375
Step: 1638400   Mean reward: 24.375     Mean validation reward: 26.40625
Step: 1654784   Mean reward: 27.1875    Mean validation reward: 25.46875
Step: 1671168   Mean reward: 29.375     Mean validation reward: 30.3125
Step: 1687552   Mean reward: 26.875     Mean validation reward: 28.59375
Step: 1703936   Mean reward: 30.3125    Mean validation reward: 24.375
Step: 1720320   Mean reward: 29.53125   Mean validation reward: 31.71875
Step: 1736704   Mean reward: 28.4375    Mean validation reward: 27.03125
Step: 1753088   Mean reward: 30.46875   Mean validation reward: 30.0
Step: 1769472   Mean reward: 30.9375    Mean validation reward: 26.40625
Step: 1785856   Mean reward: 27.34375   Mean validation reward: 24.84375
Step: 1802240   Mean reward: 27.03125   Mean validation reward: 25.78125
Step: 1818624   Mean reward: 27.34375   Mean validation reward: 18.90625
Step: 1835008   Mean reward: 20.15625   Mean validation reward: 19.84375
Step: 1851392   Mean reward: 26.5625    Mean validation reward: 26.09375
Step: 1867776   Mean reward: 26.40625   Mean validation reward: 21.875
Step: 1884160   Mean reward: 25.78125   Mean validation reward: 23.75
Step: 1900544   Mean reward: 25.46875   Mean validation reward: 23.75
Step: 1916928   Mean reward: 23.90625   Mean validation reward: 24.375
Step: 1933312   Mean reward: 27.8125    Mean validation reward: 25.625
Step: 1949696   Mean reward: 26.5625    Mean validation reward: 20.46875
Step: 1966080   Mean reward: 25.46875   Mean validation reward: 22.34375
Step: 1982464   Mean reward: 27.96875   Mean validation reward: 24.21875
Step: 1998848   Mean reward: 32.03125   Mean validation reward: 26.5625
Step: 2015232   Mean reward: 27.34375   Mean validation reward: 23.90625
Step: 2031616   Mean reward: 30.0       Mean validation reward: 20.9375
Step: 2048000   Mean reward: 29.84375   Mean validation reward: 22.65625
Step: 2064384   Mean reward: 29.375     Mean validation reward: 24.21875
Step: 2080768   Mean reward: 30.46875   Mean validation reward: 21.25
Step: 2097152   Mean reward: 32.8125    Mean validation reward: 22.5
Step: 2113536   Mean reward: 32.34375   Mean validation reward: 26.40625
Step: 2129920   Mean reward: 32.65625   Mean validation reward: 23.28125
Step: 2146304   Mean reward: 30.0       Mean validation reward: 26.875
Step: 2162688   Mean reward: 26.875     Mean validation reward: 22.96875
Step: 2179072   Mean reward: 29.0625    Mean validation reward: 19.375
Step: 2195456   Mean reward: 28.28125   Mean validation reward: 24.6875
Step: 2211840   Mean reward: 23.125     Mean validation reward: 26.40625
Step: 2228224   Mean reward: 27.5       Mean validation reward: 28.59375
Step: 2244608   Mean reward: 30.0       Mean validation reward: 25.9375
Step: 2260992   Mean reward: 32.34375   Mean validation reward: 31.40625
Step: 2277376   Mean reward: 32.8125    Mean validation reward: 29.84375
Step: 2293760   Mean reward: 32.65625   Mean validation reward: 31.09375
Step: 2310144   Mean reward: 27.03125   Mean validation reward: 33.125
Step: 2326528   Mean reward: 31.875     Mean validation reward: 28.59375
Step: 2342912   Mean reward: 37.96875   Mean validation reward: 30.0
Step: 2359296   Mean reward: 35.46875   Mean validation reward: 31.875
Step: 2375680   Mean reward: 34.53125   Mean validation reward: 32.5
Step: 2392064   Mean reward: 35.15625   Mean validation reward: 31.40625
Step: 2408448   Mean reward: 33.59375   Mean validation reward: 31.09375
Step: 2424832   Mean reward: 36.5625    Mean validation reward: 32.34375
Step: 2441216   Mean reward: 37.1875    Mean validation reward: 31.40625
Step: 2457600   Mean reward: 35.625     Mean validation reward: 32.03125
Step: 2473984   Mean reward: 37.8125    Mean validation reward: 29.84375
Step: 2490368   Mean reward: 36.71875   Mean validation reward: 35.46875
Step: 2506752   Mean reward: 38.75      Mean validation reward: 35.15625
Step: 2523136   Mean reward: 31.5625    Mean validation reward: 26.5625
Step: 2539520   Mean reward: 28.75      Mean validation reward: 30.625
Step: 2555904   Mean reward: 28.4375    Mean validation reward: 32.03125
Step: 2572288   Mean reward: 34.6875    Mean validation reward: 30.78125
Step: 2588672   Mean reward: 37.1875    Mean validation reward: 29.21875
Step: 2605056   Mean reward: 38.125     Mean validation reward: 31.25
Step: 2621440   Mean reward: 37.5       Mean validation reward: 30.78125
Step: 2637824   Mean reward: 34.53125   Mean validation reward: 32.8125
Step: 2654208   Mean reward: 31.71875   Mean validation reward: 27.65625
Step: 2670592   Mean reward: 36.71875   Mean validation reward: 30.78125
Step: 2686976   Mean reward: 35.9375    Mean validation reward: 30.78125
Step: 2703360   Mean reward: 40.78125   Mean validation reward: 33.125
Step: 2719744   Mean reward: 34.84375   Mean validation reward: 34.84375
Step: 2736128   Mean reward: 36.09375   Mean validation reward: 34.21875
Step: 2752512   Mean reward: 34.6875    Mean validation reward: 34.0625
Step: 2768896   Mean reward: 36.5625    Mean validation reward: 29.375
Step: 2785280   Mean reward: 37.03125   Mean validation reward: 32.34375
Step: 2801664   Mean reward: 34.53125   Mean validation reward: 32.65625
Step: 2818048   Mean reward: 37.03125   Mean validation reward: 27.5
Step: 2834432   Mean reward: 39.375     Mean validation reward: 36.71875
Step: 2850816   Mean reward: 37.65625   Mean validation reward: 30.15625
Step: 2867200   Mean reward: 37.8125    Mean validation reward: 35.78125
Step: 2883584   Mean reward: 35.0       Mean validation reward: 35.625
Step: 2899968   Mean reward: 36.25      Mean validation reward: 32.03125
Step: 2916352   Mean reward: 36.40625   Mean validation reward: 36.5625
Step: 2932736   Mean reward: 37.34375   Mean validation reward: 32.5
Step: 2949120   Mean reward: 35.15625   Mean validation reward: 36.5625
Step: 2965504   Mean reward: 30.625     Mean validation reward: 32.03125
Step: 2981888   Mean reward: 34.21875   Mean validation reward: 30.3125
Step: 2998272   Mean reward: 34.6875    Mean validation reward: 30.3125
Step: 3014656   Mean reward: 33.90625   Mean validation reward: 33.125
Step: 3031040   Mean reward: 37.65625   Mean validation reward: 31.25
Step: 3047424   Mean reward: 40.15625   Mean validation reward: 33.75
Step: 3063808   Mean reward: 40.3125    Mean validation reward: 35.46875
Step: 3080192   Mean reward: 43.59375   Mean validation reward: 28.90625
Step: 3096576   Mean reward: 37.96875   Mean validation reward: 28.75
Step: 3112960   Mean reward: 37.34375   Mean validation reward: 26.09375
Step: 3129344   Mean reward: 35.625     Mean validation reward: 30.78125
Step: 3145728   Mean reward: 33.75      Mean validation reward: 32.5
Step: 3162112   Mean reward: 38.90625   Mean validation reward: 30.625
Step: 3178496   Mean reward: 36.71875   Mean validation reward: 34.6875
Step: 3194880   Mean reward: 41.09375   Mean validation reward: 34.6875
Step: 3211264   Mean reward: 42.34375   Mean validation reward: 33.59375
Step: 3227648   Mean reward: 40.0       Mean validation reward: 36.09375
Step: 3244032   Mean reward: 42.34375   Mean validation reward: 33.75
Step: 3260416   Mean reward: 40.78125   Mean validation reward: 34.84375
Step: 3276800   Mean reward: 42.5       Mean validation reward: 32.96875
Step: 3293184   Mean reward: 43.4375    Mean validation reward: 35.3125
Step: 3309568   Mean reward: 45.15625   Mean validation reward: 33.125
Step: 3325952   Mean reward: 47.34375   Mean validation reward: 37.8125
Step: 3342336   Mean reward: 44.0625    Mean validation reward: 35.3125
Step: 3358720   Mean reward: 43.75      Mean validation reward: 37.34375
Step: 3375104   Mean reward: 42.34375   Mean validation reward: 38.125
Step: 3391488   Mean reward: 40.15625   Mean validation reward: 36.25
Step: 3407872   Mean reward: 39.84375   Mean validation reward: 30.9375
Step: 3424256   Mean reward: 38.59375   Mean validation reward: 36.09375
Step: 3440640   Mean reward: 39.0625    Mean validation reward: 37.96875
Step: 3457024   Mean reward: 39.84375   Mean validation reward: 33.75
Step: 3473408   Mean reward: 39.375     Mean validation reward: 33.59375
Step: 3489792   Mean reward: 36.875     Mean validation reward: 39.0625
Step: 3506176   Mean reward: 35.3125    Mean validation reward: 34.53125
Step: 3522560   Mean reward: 42.65625   Mean validation reward: 32.34375
Step: 3538944   Mean reward: 43.28125   Mean validation reward: 34.53125
Step: 3555328   Mean reward: 41.5625    Mean validation reward: 33.28125
Step: 3571712   Mean reward: 41.40625   Mean validation reward: 32.65625
Step: 3588096   Mean reward: 40.9375    Mean validation reward: 37.1875
Step: 3604480   Mean reward: 37.96875   Mean validation reward: 34.0625
Step: 3620864   Mean reward: 39.0625    Mean validation reward: 32.1875
Step: 3637248   Mean reward: 39.6875    Mean validation reward: 32.8125
Step: 3653632   Mean reward: 37.65625   Mean validation reward: 32.03125
Step: 3670016   Mean reward: 42.65625   Mean validation reward: 31.09375
Step: 3686400   Mean reward: 42.34375   Mean validation reward: 30.3125
Step: 3702784   Mean reward: 37.03125   Mean validation reward: 32.34375
Step: 3719168   Mean reward: 42.5       Mean validation reward: 37.34375
Step: 3735552   Mean reward: 40.0       Mean validation reward: 33.28125
Step: 3751936   Mean reward: 37.65625   Mean validation reward: 34.6875
Step: 3768320   Mean reward: 39.0625    Mean validation reward: 33.59375
Step: 3784704   Mean reward: 40.625     Mean validation reward: 29.375
Step: 3801088   Mean reward: 38.75      Mean validation reward: 32.8125
Step: 3817472   Mean reward: 39.53125   Mean validation reward: 35.0
Step: 3833856   Mean reward: 42.03125   Mean validation reward: 30.9375
Step: 3850240   Mean reward: 36.09375   Mean validation reward: 37.8125
Step: 3866624   Mean reward: 35.9375    Mean validation reward: 32.65625
Step: 3883008   Mean reward: 40.9375    Mean validation reward: 31.40625
Step: 3899392   Mean reward: 41.09375   Mean validation reward: 29.53125
Step: 3915776   Mean reward: 46.09375   Mean validation reward: 35.3125
Step: 3932160   Mean reward: 43.75      Mean validation reward: 37.5
Step: 3948544   Mean reward: 39.0625    Mean validation reward: 35.15625
Step: 3964928   Mean reward: 40.3125    Mean validation reward: 31.09375
Step: 3981312   Mean reward: 37.65625   Mean validation reward: 32.34375
Step: 3997696   Mean reward: 39.84375   Mean validation reward: 35.9375
Step: 4014080   Mean reward: 39.21875   Mean validation reward: 38.75
Step: 4030464   Mean reward: 40.625     Mean validation reward: 35.9375
Step: 4046848   Mean reward: 40.9375    Mean validation reward: 33.4375
Step: 4063232   Mean reward: 44.53125   Mean validation reward: 33.90625
Step: 4079616   Mean reward: 43.125     Mean validation reward: 34.0625
Step: 4096000   Mean reward: 46.40625   Mean validation reward: 36.25
Step: 4112384   Mean reward: 41.09375   Mean validation reward: 39.53125
Step: 4128768   Mean reward: 39.21875   Mean validation reward: 38.28125
Step: 4145152   Mean reward: 37.65625   Mean validation reward: 35.0
Step: 4161536   Mean reward: 37.1875    Mean validation reward: 33.90625
Step: 4177920   Mean reward: 40.46875   Mean validation reward: 35.0
Step: 4194304   Mean reward: 41.09375   Mean validation reward: 35.9375
Step: 4210688   Mean reward: 42.34375   Mean validation reward: 33.4375
Step: 4227072   Mean reward: 41.40625   Mean validation reward: 33.90625
Step: 4243456   Mean reward: 42.1875    Mean validation reward: 35.3125
Step: 4259840   Mean reward: 42.8125    Mean validation reward: 35.3125
Step: 4276224   Mean reward: 40.0       Mean validation reward: 35.0
Step: 4292608   Mean reward: 40.3125    Mean validation reward: 37.65625
Step: 4308992   Mean reward: 37.8125    Mean validation reward: 36.40625
Step: 4325376   Mean reward: 40.15625   Mean validation reward: 34.84375
Step: 4341760   Mean reward: 35.0       Mean validation reward: 39.21875
Step: 4358144   Mean reward: 37.96875   Mean validation reward: 35.625
Step: 4374528   Mean reward: 42.03125   Mean validation reward: 35.9375
Step: 4390912   Mean reward: 40.625     Mean validation reward: 37.65625
Step: 4407296   Mean reward: 40.0       Mean validation reward: 36.25
Step: 4423680   Mean reward: 41.09375   Mean validation reward: 36.25
Step: 4440064   Mean reward: 42.5       Mean validation reward: 37.1875
Step: 4456448   Mean reward: 38.4375    Mean validation reward: 38.125
Step: 4472832   Mean reward: 39.375     Mean validation reward: 39.0625
Step: 4489216   Mean reward: 38.75      Mean validation reward: 34.6875
Step: 4505600   Mean reward: 40.15625   Mean validation reward: 35.78125
Step: 4521984   Mean reward: 40.0       Mean validation reward: 36.40625
Step: 4538368   Mean reward: 44.6875    Mean validation reward: 35.9375
Step: 4554752   Mean reward: 46.09375   Mean validation reward: 35.625
Step: 4571136   Mean reward: 42.1875    Mean validation reward: 32.5
Step: 4587520   Mean reward: 45.46875   Mean validation reward: 39.6875
Step: 4603904   Mean reward: 43.125     Mean validation reward: 36.5625
Step: 4620288   Mean reward: 42.8125    Mean validation reward: 37.03125
Step: 4636672   Mean reward: 39.53125   Mean validation reward: 34.375
Step: 4653056   Mean reward: 37.96875   Mean validation reward: 33.28125
Step: 4669440   Mean reward: 42.65625   Mean validation reward: 34.84375
Step: 4685824   Mean reward: 45.0       Mean validation reward: 32.96875
Step: 4702208   Mean reward: 43.28125   Mean validation reward: 35.78125
Step: 4718592   Mean reward: 43.59375   Mean validation reward: 31.5625
Step: 4734976   Mean reward: 43.28125   Mean validation reward: 34.0625
Step: 4751360   Mean reward: 46.40625   Mean validation reward: 32.65625
Step: 4767744   Mean reward: 45.46875   Mean validation reward: 35.9375
Step: 4784128   Mean reward: 49.53125   Mean validation reward: 31.875
Step: 4800512   Mean reward: 46.25      Mean validation reward: 36.5625
Step: 4816896   Mean reward: 45.0       Mean validation reward: 35.625
Step: 4833280   Mean reward: 45.625     Mean validation reward: 33.4375
Step: 4849664   Mean reward: 38.59375   Mean validation reward: 34.53125
Step: 4866048   Mean reward: 39.6875    Mean validation reward: 36.25
Step: 4882432   Mean reward: 37.1875    Mean validation reward: 34.21875
Step: 4898816   Mean reward: 37.5       Mean validation reward: 34.375
Step: 4915200   Mean reward: 39.53125   Mean validation reward: 34.375
Step: 4931584   Mean reward: 39.375     Mean validation reward: 35.15625
Step: 4947968   Mean reward: 40.9375    Mean validation reward: 34.53125
Step: 4964352   Mean reward: 39.21875   Mean validation reward: 34.84375
Step: 4980736   Mean reward: 44.0625    Mean validation reward: 34.375
Step: 4997120   Mean reward: 38.59375   Mean validation reward: 35.625
Step: 5013504   Mean reward: 36.875     Mean validation reward: 36.875
Step: 5029888   Mean reward: 40.625     Mean validation reward: 34.375
Step: 5046272   Mean reward: 41.875     Mean validation reward: 32.34375
Step: 5062656   Mean reward: 39.53125   Mean validation reward: 33.59375
Step: 5079040   Mean reward: 41.40625   Mean validation reward: 36.71875
Step: 5095424   Mean reward: 45.78125   Mean validation reward: 34.21875
Step: 5111808   Mean reward: 42.34375   Mean validation reward: 32.1875
Step: 5128192   Mean reward: 43.4375    Mean validation reward: 35.0
Step: 5144576   Mean reward: 39.375     Mean validation reward: 35.9375
Step: 5160960   Mean reward: 38.28125   Mean validation reward: 32.96875
Step: 5177344   Mean reward: 37.8125    Mean validation reward: 34.0625
Step: 5193728   Mean reward: 43.125     Mean validation reward: 37.65625
Step: 5210112   Mean reward: 37.96875   Mean validation reward: 30.3125
Step: 5226496   Mean reward: 40.46875   Mean validation reward: 33.75
Step: 5242880   Mean reward: 44.0625    Mean validation reward: 32.96875
Step: 5259264   Mean reward: 42.65625   Mean validation reward: 37.03125
Step: 5275648   Mean reward: 47.03125   Mean validation reward: 35.0
Step: 5292032   Mean reward: 43.4375    Mean validation reward: 36.5625
Step: 5308416   Mean reward: 41.875     Mean validation reward: 34.21875
Step: 5324800   Mean reward: 39.0625    Mean validation reward: 36.875
Step: 5341184   Mean reward: 35.3125    Mean validation reward: 36.09375
Step: 5357568   Mean reward: 41.71875   Mean validation reward: 35.3125
Step: 5373952   Mean reward: 43.125     Mean validation reward: 31.875
Step: 5390336   Mean reward: 41.875     Mean validation reward: 37.65625
Step: 5406720   Mean reward: 42.8125    Mean validation reward: 35.46875
Step: 5423104   Mean reward: 41.40625   Mean validation reward: 34.0625
Step: 5439488   Mean reward: 37.96875   Mean validation reward: 33.75
Step: 5455872   Mean reward: 44.375     Mean validation reward: 37.03125
Step: 5472256   Mean reward: 45.3125    Mean validation reward: 37.65625
Step: 5488640   Mean reward: 45.3125    Mean validation reward: 37.5
Step: 5505024   Mean reward: 42.5       Mean validation reward: 34.375
Step: 5521408   Mean reward: 36.09375   Mean validation reward: 36.875
Step: 5537792   Mean reward: 41.09375   Mean validation reward: 37.5
Step: 5554176   Mean reward: 33.28125   Mean validation reward: 35.625
Step: 5570560   Mean reward: 36.25      Mean validation reward: 35.78125
Step: 5586944   Mean reward: 36.71875   Mean validation reward: 37.34375
Step: 5603328   Mean reward: 39.375     Mean validation reward: 40.15625
Step: 5619712   Mean reward: 40.15625   Mean validation reward: 34.0625
Step: 5636096   Mean reward: 43.59375   Mean validation reward: 34.0625
Step: 5652480   Mean reward: 43.4375    Mean validation reward: 34.53125
Step: 5668864   Mean reward: 35.9375    Mean validation reward: 33.75
Step: 5685248   Mean reward: 42.03125   Mean validation reward: 34.84375
Step: 5701632   Mean reward: 35.9375    Mean validation reward: 37.1875
Step: 5718016   Mean reward: 38.28125   Mean validation reward: 33.4375
Step: 5734400   Mean reward: 43.125     Mean validation reward: 35.625
Step: 5750784   Mean reward: 44.21875   Mean validation reward: 39.6875
Step: 5767168   Mean reward: 42.5       Mean validation reward: 38.90625
Step: 5783552   Mean reward: 42.34375   Mean validation reward: 38.59375
Step: 5799936   Mean reward: 45.15625   Mean validation reward: 38.28125
Step: 5816320   Mean reward: 39.375     Mean validation reward: 35.3125
Step: 5832704   Mean reward: 44.21875   Mean validation reward: 37.96875
Step: 5849088   Mean reward: 40.9375    Mean validation reward: 38.59375
Step: 5865472   Mean reward: 46.25      Mean validation reward: 40.625
Step: 5881856   Mean reward: 47.65625   Mean validation reward: 37.1875
Step: 5898240   Mean reward: 43.125     Mean validation reward: 36.875
Step: 5914624   Mean reward: 46.25      Mean validation reward: 35.3125
Step: 5931008   Mean reward: 45.625     Mean validation reward: 36.25
Step: 5947392   Mean reward: 47.34375   Mean validation reward: 41.09375
Step: 5963776   Mean reward: 45.78125   Mean validation reward: 39.0625
Step: 5980160   Mean reward: 45.15625   Mean validation reward: 37.03125
Step: 5996544   Mean reward: 43.28125   Mean validation reward: 34.375
Step: 6012928   Mean reward: 41.25      Mean validation reward: 35.15625
Step: 6029312   Mean reward: 44.21875   Mean validation reward: 34.375
Step: 6045696   Mean reward: 46.71875   Mean validation reward: 38.75
Step: 6062080   Mean reward: 40.78125   Mean validation reward: 40.46875
Step: 6078464   Mean reward: 41.5625    Mean validation reward: 37.1875
Step: 6094848   Mean reward: 48.28125   Mean validation reward: 39.53125
Step: 6111232   Mean reward: 49.53125   Mean validation reward: 35.9375
Step: 6127616   Mean reward: 47.5       Mean validation reward: 35.625
Step: 6144000   Mean reward: 47.5       Mean validation reward: 37.65625
Step: 6160384   Mean reward: 48.75      Mean validation reward: 41.09375
Step: 6176768   Mean reward: 45.15625   Mean validation reward: 41.09375
Step: 6193152   Mean reward: 46.40625   Mean validation reward: 34.21875
Step: 6209536   Mean reward: 42.96875   Mean validation reward: 39.375
Step: 6225920   Mean reward: 45.625     Mean validation reward: 34.53125
Step: 6242304   Mean reward: 44.84375   Mean validation reward: 35.15625
Step: 6258688   Mean reward: 46.5625    Mean validation reward: 39.21875
Step: 6275072   Mean reward: 42.03125   Mean validation reward: 38.90625
Step: 6291456   Mean reward: 39.53125   Mean validation reward: 37.96875
Step: 6307840   Mean reward: 40.625     Mean validation reward: 40.78125
Step: 6324224   Mean reward: 39.84375   Mean validation reward: 36.875
Step: 6340608   Mean reward: 44.21875   Mean validation reward: 36.71875
Step: 6356992   Mean reward: 41.40625   Mean validation reward: 35.78125
Step: 6373376   Mean reward: 38.75      Mean validation reward: 41.09375
Step: 6389760   Mean reward: 41.40625   Mean validation reward: 39.6875
Step: 6406144   Mean reward: 40.46875   Mean validation reward: 38.28125
Step: 6422528   Mean reward: 43.4375    Mean validation reward: 44.53125
Step: 6438912   Mean reward: 47.5       Mean validation reward: 42.65625
Step: 6455296   Mean reward: 46.09375   Mean validation reward: 37.65625
Step: 6471680   Mean reward: 41.875     Mean validation reward: 42.1875
Step: 6488064   Mean reward: 43.125     Mean validation reward: 40.625
Step: 6504448   Mean reward: 44.0625    Mean validation reward: 38.28125
Step: 6520832   Mean reward: 42.34375   Mean validation reward: 36.71875
Step: 6537216   Mean reward: 47.65625   Mean validation reward: 40.78125
Step: 6553600   Mean reward: 44.0625    Mean validation reward: 34.84375
Step: 6569984   Mean reward: 46.40625   Mean validation reward: 36.40625
Step: 6586368   Mean reward: 47.34375   Mean validation reward: 38.75
Step: 6602752   Mean reward: 48.125     Mean validation reward: 38.59375
Step: 6619136   Mean reward: 51.40625   Mean validation reward: 40.625
Step: 6635520   Mean reward: 44.84375   Mean validation reward: 37.1875
Step: 6651904   Mean reward: 50.3125    Mean validation reward: 35.3125
Step: 6668288   Mean reward: 45.78125   Mean validation reward: 35.15625
Step: 6684672   Mean reward: 47.34375   Mean validation reward: 37.1875
Step: 6701056   Mean reward: 46.5625    Mean validation reward: 38.125
Step: 6717440   Mean reward: 44.375     Mean validation reward: 38.4375
Step: 6733824   Mean reward: 43.75      Mean validation reward: 38.28125
Step: 6750208   Mean reward: 42.96875   Mean validation reward: 33.4375
Step: 6766592   Mean reward: 44.84375   Mean validation reward: 37.96875
Step: 6782976   Mean reward: 44.375     Mean validation reward: 35.9375
Step: 6799360   Mean reward: 42.1875    Mean validation reward: 32.8125
Step: 6815744   Mean reward: 41.5625    Mean validation reward: 33.4375
Step: 6832128   Mean reward: 42.03125   Mean validation reward: 37.8125
Step: 6848512   Mean reward: 41.09375   Mean validation reward: 35.15625
Step: 6864896   Mean reward: 44.375     Mean validation reward: 40.3125
