Step: 1589248   Mean reward: 22.015625  Mean validation reward: 20.734375
Step: 1605632   Mean reward: 21.546875  Mean validation reward: 20.8125
Step: 1622016   Mean reward: 21.40625   Mean validation reward: 20.359375
Step: 1638400   Mean reward: 20.90625   Mean validation reward: 21.203125
Step: 1654784   Mean reward: 21.171875  Mean validation reward: 21.109375
Step: 1671168   Mean reward: 21.265625  Mean validation reward: 19.75
Step: 1687552   Mean reward: 21.5       Mean validation reward: 20.59375
Step: 1703936   Mean reward: 21.890625  Mean validation reward: 20.4375
Step: 1720320   Mean reward: 21.734375  Mean validation reward: 21.5625
Step: 1736704   Mean reward: 21.828125  Mean validation reward: 21.328125
Step: 1753088   Mean reward: 21.34375   Mean validation reward: 20.75
Step: 1769472   Mean reward: 21.734375  Mean validation reward: 21.5
Step: 1785856   Mean reward: 21.0625    Mean validation reward: 20.921875
Step: 1802240   Mean reward: 20.921875  Mean validation reward: 20.328125
Step: 1818624   Mean reward: 21.265625  Mean validation reward: 21.546875
Step: 1835008   Mean reward: 22.015625  Mean validation reward: 20.8125
Step: 1851392   Mean reward: 22.859375  Mean validation reward: 21.984375
Step: 1867776   Mean reward: 21.4375    Mean validation reward: 21.25
Step: 1884160   Mean reward: 20.3125    Mean validation reward: 21.09375
Step: 1900544   Mean reward: 21.5625    Mean validation reward: 20.78125
Step: 1916928   Mean reward: 20.921875  Mean validation reward: 20.546875
Step: 1933312   Mean reward: 21.71875   Mean validation reward: 21.453125
Step: 1949696   Mean reward: 23.0625    Mean validation reward: 21.6875
Step: 1966080   Mean reward: 22.453125  Mean validation reward: 21.296875
Step: 1982464   Mean reward: 21.515625  Mean validation reward: 21.03125
Step: 1998848   Mean reward: 20.40625   Mean validation reward: 20.5
Step: 2015232   Mean reward: 21.15625   Mean validation reward: 20.734375
Step: 2031616   Mean reward: 21.09375   Mean validation reward: 21.65625
Step: 2048000   Mean reward: 21.78125   Mean validation reward: 21.09375
Step: 2064384   Mean reward: 21.421875  Mean validation reward: 22.265625
Step: 2080768   Mean reward: 21.765625  Mean validation reward: 20.765625
