steps,train,test
3883008,25.234375,25.09375
3899392,26.40625,24.625
3915776,24.71875,24.890625
3932160,25.3125,24.921875
3948544,24.515625,25.078125
3964928,25.984375,24.578125
3981312,25.15625,25.484375
3997696,25.46875,24.671875
4014080,25.953125,25.21875
4030464,25.203125,25.125
4046848,26.0625,25.640625
4063232,26.515625,25.609375
4079616,26.140625,25.5625
4096000,26.03125,25.28125
4112384,26.875,24.546875
4128768,26.453125,27.40625
4145152,26.359375,25.640625
4161536,26.46875,25.234375
4177920,25.828125,25.984375
4194304,26.4375,25.703125
4210688,25.828125,25.609375
4227072,25.703125,26.453125
4243456,25.609375,25.296875
4259840,26.171875,26.0
4276224,24.78125,23.21875
4292608,25.9375,25.96875
4308992,26.546875,25.640625
4325376,26.328125,24.765625
4341760,26.84375,26.34375
4358144,25.140625,25.9375
4374528,25.859375,24.703125
4390912,26.734375,25.65625
4407296,26.875,24.953125
4423680,26.453125,23.46875
4440064,26.1875,23.96875
4456448,27.59375,24.984375
4472832,24.96875,25.421875
4489216,25.640625,26.296875
4505600,25.65625,26.265625
4521984,25.515625,25.640625
4538368,25.78125,27.109375
4554752,25.8125,25.875
4571136,25.75,24.375
4587520,26.375,24.578125
4603904,26.640625,24.984375
4620288,25.9375,24.453125
4636672,24.78125,24.25
4653056,26.53125,26.15625
4669440,26.234375,24.984375
4685824,24.875,25.078125
4702208,25.453125,26.53125
4718592,27.0,25.4375
4734976,27.03125,25.1875
4751360,27.171875,25.703125
4767744,25.296875,26.65625
4784128,25.9375,25.921875
4800512,27.296875,25.78125
4816896,27.421875,25.6875
4833280,28.0,25.71875
4849664,26.03125,25.71875
4866048,26.09375,25.609375
4882432,26.5625,25.203125
4898816,25.9375,25.90625
4915200,26.015625,25.28125
4931584,26.125,26.03125
4947968,26.25,25.484375
4964352,26.28125,24.546875
4980736,25.21875,25.0
4997120,26.0,25.734375
5013504,25.984375,25.84375
5029888,25.75,25.078125
5046272,26.90625,25.609375
5062656,27.1875,26.4375
5079040,26.125,26.390625
5095424,26.265625,26.03125
5111808,26.546875,25.21875
5128192,25.640625,26.0
5144576,25.71875,24.921875
5160960,26.390625,25.5
5177344,26.90625,27.0
5193728,25.953125,25.484375
5210112,25.515625,26.9375
5226496,24.34375,26.609375
5242880,25.84375,26.359375
5259264,25.375,24.71875
5275648,25.40625,26.5625
5292032,26.703125,26.96875
5308416,25.9375,24.9375
5324800,26.546875,26.09375
